Year,CNTY,Crop_Code,CSBACRES,Source_Window,Crop_Name
2008,Albany,36,2143.855735262499,2008-2015,Alfalfa
2008,Allegany,36,5946.005821413637,2008-2015,Alfalfa
2008,Broome,36,1686.4858007027956,2008-2015,Alfalfa
2008,Cattaraugus,36,5333.5378891496675,2008-2015,Alfalfa
2008,Cayuga,36,38946.31677233183,2008-2015,Alfalfa
2008,Chautauqua,36,2814.784184899892,2008-2015,Alfalfa
2008,Chemung,36,1539.60775623839,2008-2015,Alfalfa
2008,Chenango,36,9157.002500921903,2008-2015,Alfalfa
2008,Clinton,36,29510.542062077642,2008-2015,Alfalfa
2008,Columbia,36,8754.230743656339,2008-2015,Alfalfa
2008,Cortland,36,11353.539735458167,2008-2015,Alfalfa
2008,Delaware,36,1439.4013230249325,2008-2015,Alfalfa
2008,Dutchess,36,8697.873456711503,2008-2015,Alfalfa
2008,Erie,36,7959.482124654393,2008-2015,Alfalfa
2008,Essex,36,11943.775711478347,2008-2015,Alfalfa
2008,Franklin,36,5787.4328079208235,2008-2015,Alfalfa
2008,Fulton,36,47.9557275048636,2008-2015,Alfalfa
2008,Genesee,36,35706.90347070491,2008-2015,Alfalfa
2008,Greene,36,927.9063545631794,2008-2015,Alfalfa
2008,Herkimer,36,6027.199879177606,2008-2015,Alfalfa
2008,Jefferson,36,18558.00440939389,2008-2015,Alfalfa
2008,Lewis,36,17773.08739773418,2008-2015,Alfalfa
2008,Livingston,36,30990.159487808487,2008-2015,Alfalfa
2008,Madison,36,20669.80989170535,2008-2015,Alfalfa
2008,Monroe,36,5766.257632060586,2008-2015,Alfalfa
2008,Montgomery,36,413.48274621492357,2008-2015,Alfalfa
2008,Nassau,36,6.7388679749449505,2008-2015,Alfalfa
2008,Niagara,36,15952.398455861829,2008-2015,Alfalfa
2008,Oneida,36,17294.447463498236,2008-2015,Alfalfa
2008,Onondaga,36,26475.501427332856,2008-2015,Alfalfa
2008,Ontario,36,26060.264485296506,2008-2015,Alfalfa
2008,Orange,36,2444.1092492131174,2008-2015,Alfalfa
2008,Orleans,36,10660.44144059213,2008-2015,Alfalfa
2008,Oswego,36,3518.415106812426,2008-2015,Alfalfa
2008,Otsego,36,6090.596225355229,2008-2015,Alfalfa
2008,Putnam,36,71.4323139314966,2008-2015,Alfalfa
2008,Rensselaer,36,5954.185131915116,2008-2015,Alfalfa
2008,Saratoga,36,5426.36512479996,2008-2015,Alfalfa
2008,Schenectady,36,69.08741230507583,2008-2015,Alfalfa
2008,Schoharie,36,3011.944357836515,2008-2015,Alfalfa
2008,Schuyler,36,4471.570998858036,2008-2015,Alfalfa
2008,Seneca,36,10987.907204072932,2008-2015,Alfalfa
2008,St. Lawrence,36,1081.9456218535074,2008-2015,Alfalfa
2008,Steuben,36,12911.257819354183,2008-2015,Alfalfa
2008,Suffolk,36,18.797471744081367,2008-2015,Alfalfa
2008,Sullivan,36,26.698504797793777,2008-2015,Alfalfa
2008,Tioga,36,2639.7198686854827,2008-2015,Alfalfa
2008,Tompkins,36,8924.678924816017,2008-2015,Alfalfa
2008,Ulster,36,2368.342055608743,2008-2015,Alfalfa
2008,Warren,36,150.02544513886235,2008-2015,Alfalfa
2008,Washington,36,21112.85311981784,2008-2015,Alfalfa
2008,Wayne,36,7812.859579589036,2008-2015,Alfalfa
2008,Westchester,36,26.63825989184854,2008-2015,Alfalfa
2008,Wyoming,36,46460.62635914114,2008-2015,Alfalfa
2008,Yates,36,14077.112709672905,2008-2015,Alfalfa
2009,Albany,36,949.807949088674,2008-2015,Alfalfa
2009,Allegany,36,7361.161230237791,2008-2015,Alfalfa
2009,Broome,36,2386.2083094045106,2008-2015,Alfalfa
2009,Cattaraugus,36,7141.238476550105,2008-2015,Alfalfa
2009,Cayuga,36,34471.50415866598,2008-2015,Alfalfa
2009,Chautauqua,36,2771.142598754297,2008-2015,Alfalfa
2009,Chemung,36,2157.6947002847955,2008-2015,Alfalfa
2009,Chenango,36,11408.692453163352,2008-2015,Alfalfa
2009,Clinton,36,18292.084909381312,2008-2015,Alfalfa
2009,Columbia,36,7367.02389033908,2008-2015,Alfalfa
2009,Cortland,36,10059.945489998398,2008-2015,Alfalfa
2009,Delaware,36,904.9980806490945,2008-2015,Alfalfa
2009,Dutchess,36,6867.650432862471,2008-2015,Alfalfa
2009,Erie,36,10182.36783392833,2008-2015,Alfalfa
2009,Essex,36,3496.891527703554,2008-2015,Alfalfa
2009,Franklin,36,5690.728925926988,2008-2015,Alfalfa
2009,Fulton,36,94.32974653424083,2008-2015,Alfalfa
2009,Genesee,36,31158.80388228488,2008-2015,Alfalfa
2009,Greene,36,254.2368151158424,2008-2015,Alfalfa
2009,Herkimer,36,9277.588387248861,2008-2015,Alfalfa
2009,Jefferson,36,14552.856988457217,2008-2015,Alfalfa
2009,Lewis,36,14634.92818212996,2008-2015,Alfalfa
2009,Livingston,36,28860.520366525296,2008-2015,Alfalfa
2009,Madison,36,20065.08202401544,2008-2015,Alfalfa
2009,Monroe,36,5880.820790779107,2008-2015,Alfalfa
2009,Montgomery,36,403.8358766515683,2008-2015,Alfalfa
2009,Niagara,36,21481.775279998514,2008-2015,Alfalfa
2009,Oneida,36,19400.03344060931,2008-2015,Alfalfa
2009,Onondaga,36,22794.287084120446,2008-2015,Alfalfa
2009,Ontario,36,24077.62248743529,2008-2015,Alfalfa
2009,Orange,36,2499.140616675031,2008-2015,Alfalfa
2009,Orleans,36,10157.754471396756,2008-2015,Alfalfa
2009,Oswego,36,2895.7095069161383,2008-2015,Alfalfa
2009,Otsego,36,8144.515072853324,2008-2015,Alfalfa
2009,Putnam,36,23.19006119525998,2008-2015,Alfalfa
2009,Rensselaer,36,5704.051668079857,2008-2015,Alfalfa
2009,Rockland,36,3.123470256802482,2008-2015,Alfalfa
2009,Saratoga,36,5310.12483552246,2008-2015,Alfalfa
2009,Schenectady,36,91.01449321129819,2008-2015,Alfalfa
2009,Schoharie,36,2215.188156066209,2008-2015,Alfalfa
2009,Schuyler,36,4179.599436028884,2008-2015,Alfalfa
2009,Seneca,36,11031.788311918945,2008-2015,Alfalfa
2009,St. Lawrence,36,11158.667727078251,2008-2015,Alfalfa
2009,Steuben,36,13052.05423443151,2008-2015,Alfalfa
2009,Sullivan,36,48.40418550404951,2008-2015,Alfalfa
2009,Tioga,36,4773.260853112531,2008-2015,Alfalfa
2009,Tompkins,36,7552.591342979331,2008-2015,Alfalfa
2009,Ulster,36,1451.9532378047834,2008-2015,Alfalfa
2009,Warren,36,197.42334641508575,2008-2015,Alfalfa
2009,Washington,36,22633.795959236555,2008-2015,Alfalfa
2009,Wayne,36,7117.438726740075,2008-2015,Alfalfa
2009,Westchester,36,22.176909591421655,2008-2015,Alfalfa
2009,Wyoming,36,49058.76146791788,2008-2015,Alfalfa
2009,Yates,36,11448.192041679255,2008-2015,Alfalfa
2010,Albany,36,1890.0343046850403,2008-2015,Alfalfa
2010,Allegany,36,7546.222086718211,2008-2015,Alfalfa
2010,Broome,36,2943.723309370761,2008-2015,Alfalfa
2010,Cattaraugus,36,6876.4568400069775,2008-2015,Alfalfa
2010,Cayuga,36,33927.79684405417,2008-2015,Alfalfa
2010,Chautauqua,36,2216.0242390740586,2008-2015,Alfalfa
2010,Chemung,36,2013.269943596815,2008-2015,Alfalfa
2010,Chenango,36,8619.344787744725,2008-2015,Alfalfa
2010,Clinton,36,20458.08212787308,2008-2015,Alfalfa
2010,Columbia,36,6483.6061259173985,2008-2015,Alfalfa
2010,Cortland,36,9380.595841344502,2008-2015,Alfalfa
2010,Delaware,36,781.7654033165454,2008-2015,Alfalfa
2010,Dutchess,36,9290.80274230831,2008-2015,Alfalfa
2010,Erie,36,4222.5298351512065,2008-2015,Alfalfa
2010,Essex,36,3077.456807771181,2008-2015,Alfalfa
2010,Franklin,36,4424.4054242075235,2008-2015,Alfalfa
2010,Fulton,36,14.642096937799177,2008-2015,Alfalfa
2010,Genesee,36,32821.371512669124,2008-2015,Alfalfa
2010,Greene,36,422.6226761466875,2008-2015,Alfalfa
2010,Hamilton,36,4.537647922923763,2008-2015,Alfalfa
2010,Herkimer,36,6238.459968459479,2008-2015,Alfalfa
2010,Jefferson,36,12265.774594491028,2008-2015,Alfalfa
2010,Lewis,36,9920.988768019632,2008-2015,Alfalfa
2010,Livingston,36,29947.833090457727,2008-2015,Alfalfa
2010,Madison,36,20795.74895001122,2008-2015,Alfalfa
2010,Monroe,36,5566.191983145107,2008-2015,Alfalfa
2010,Montgomery,36,203.14211984844763,2008-2015,Alfalfa
2010,Nassau,36,2.605489332546989,2008-2015,Alfalfa
2010,Niagara,36,21002.213022839554,2008-2015,Alfalfa
2010,Oneida,36,17030.40035027947,2008-2015,Alfalfa
2010,Onondaga,36,23828.540386045795,2008-2015,Alfalfa
2010,Ontario,36,25942.530379081796,2008-2015,Alfalfa
2010,Orange,36,1282.418912979916,2008-2015,Alfalfa
2010,Orleans,36,10185.872692567746,2008-2015,Alfalfa
