Year,CNTY,Crop_Code,CSBACRES,Source_Window,Crop_Name
2008,Albany,176,13001.282973140385,2008-2015,Grass/Pasture
2008,Allegany,176,22531.05249324489,2008-2015,Grass/Pasture
2008,Broome,176,22637.985625569472,2008-2015,Grass/Pasture
2008,Cattaraugus,176,17281.903117248617,2008-2015,Grass/Pasture
2008,Cayuga,176,13595.891116975949,2008-2015,Grass/Pasture
2008,Chautauqua,176,38585.82530825509,2008-2015,Grass/Pasture
2008,Chemung,176,12849.8957466216,2008-2015,Grass/Pasture
2008,Chenango,176,41013.99445339588,2008-2015,Grass/Pasture
2008,Clinton,176,13862.79304600435,2008-2015,Grass/Pasture
2008,Columbia,176,26995.279450358226,2008-2015,Grass/Pasture
2008,Cortland,176,17368.181764020766,2008-2015,Grass/Pasture
2008,Delaware,176,26503.261388233423,2008-2015,Grass/Pasture
2008,Dutchess,176,29710.850861701332,2008-2015,Grass/Pasture
2008,Erie,176,33328.55560296095,2008-2015,Grass/Pasture
2008,Essex,176,5726.333331475367,2008-2015,Grass/Pasture
2008,Franklin,176,10560.380951593897,2008-2015,Grass/Pasture
2008,Fulton,176,7615.617054038494,2008-2015,Grass/Pasture
2008,Genesee,176,10500.37909388943,2008-2015,Grass/Pasture
2008,Greene,176,7653.658503294042,2008-2015,Grass/Pasture
2008,Hamilton,176,54.06174182776196,2008-2015,Grass/Pasture
2008,Herkimer,176,28973.008327432923,2008-2015,Grass/Pasture
2008,Jefferson,176,65672.78680862667,2008-2015,Grass/Pasture
2008,Lewis,176,19106.76375261875,2008-2015,Grass/Pasture
2008,Livingston,176,12836.988284500292,2008-2015,Grass/Pasture
2008,Madison,176,21898.69188707239,2008-2015,Grass/Pasture
2008,Monroe,176,16458.245505103947,2008-2015,Grass/Pasture
2008,Montgomery,176,17080.148047778668,2008-2015,Grass/Pasture
2008,Nassau,176,36.49443448730516,2008-2015,Grass/Pasture
2008,Niagara,176,15727.68986348586,2008-2015,Grass/Pasture
2008,Oneida,176,35235.86730623386,2008-2015,Grass/Pasture
2008,Onondaga,176,11350.810989578336,2008-2015,Grass/Pasture
2008,Ontario,176,16345.916804842447,2008-2015,Grass/Pasture
2008,Orange,176,21078.680294582413,2008-2015,Grass/Pasture
2008,Orleans,176,7756.989879599174,2008-2015,Grass/Pasture
2008,Oswego,176,18025.2911817362,2008-2015,Grass/Pasture
2008,Otsego,176,52874.205120451814,2008-2015,Grass/Pasture
2008,Putnam,176,824.4771621695918,2008-2015,Grass/Pasture
2008,Rensselaer,176,17188.174965109003,2008-2015,Grass/Pasture
2008,Richmond,176,5.020654695214071,2008-2015,Grass/Pasture
2008,Rockland,176,182.75934915762343,2008-2015,Grass/Pasture
2008,Saratoga,176,9708.58368382478,2008-2015,Grass/Pasture
2008,Schenectady,176,4952.890058904826,2008-2015,Grass/Pasture
