Year,CNTY,Crop_Code,CSBACRES,Source_Window,Crop_Name
2008,Albany,12,63.28232156426526,2008-2015,Other (12)
2008,Allegany,12,185.06196402579528,2008-2015,Other (12)
2008,Cattaraugus,12,115.64605839397024,2008-2015,Other (12)
2008,Cayuga,12,4870.58502034086,2008-2015,Other (12)
2008,Chautauqua,12,9.829703019649532,2008-2015,Other (12)
2008,Clinton,12,9.604906417488769,2008-2015,Other (12)
2008,Columbia,12,29.247455194197748,2008-2015,Other (12)
2008,Cortland,12,45.483802138191926,2008-2015,Other (12)
2008,Dutchess,12,61.015231285003956,2008-2015,Other (12)
2008,Erie,12,243.77742547218088,2008-2015,Other (12)
2008,Essex,12,29.65217771277883,2008-2015,Other (12)
2008,Genesee,12,4437.60339954983,2008-2015,Other (12)
2008,Greene,12,93.58024955323336,2008-2015,Other (12)
2008,Herkimer,12,4.445617201251577,2008-2015,Other (12)
2008,Livingston,12,2889.264834885312,2008-2015,Other (12)
2008,Madison,12,7.999411428745236,2008-2015,Other (12)
2008,Monroe,12,3378.319292141332,2008-2015,Other (12)
2008,Niagara,12,163.78204019643587,2008-2015,Other (12)
2008,Oneida,12,12.469642143895674,2008-2015,Other (12)
2008,Onondaga,12,43.05925454015385,2008-2015,Other (12)
2008,Ontario,12,446.06102642701046,2008-2015,Other (12)
2008,Orange,12,96.20466389826119,2008-2015,Other (12)
2008,Orleans,12,3624.68523378163,2008-2015,Other (12)
2008,Oswego,12,6.724976071180314,2008-2015,Other (12)
2008,Rensselaer,12,11.298779831802086,2008-2015,Other (12)
2008,Saratoga,12,138.58309332456403,2008-2015,Other (12)
2008,Schenectady,12,12.04874622661423,2008-2015,Other (12)
2008,Schoharie,12,24.054444167162693,2008-2015,Other (12)
2008,Schuyler,12,2.8792797731863295,2008-2015,Other (12)
2008,Seneca,12,101.83817424717856,2008-2015,Other (12)
2008,Steuben,12,62.96539375875483,2008-2015,Other (12)
2008,Suffolk,12,15.432143894785238,2008-2015,Other (12)
2008,Tompkins,12,323.91468323979797,2008-2015,Other (12)
2008,Ulster,12,1600.2274152412651,2008-2015,Other (12)
2008,Warren,12,64.83609982568106,2008-2015,Other (12)
2008,Washington,12,48.86583755249364,2008-2015,Other (12)
2008,Wayne,12,41.77862903127392,2008-2015,Other (12)
2008,Wyoming,12,1237.3633133092253,2008-2015,Other (12)
2008,Yates,12,1897.9643319306902,2008-2015,Other (12)
2009,Albany,12,35.653919142738246,2008-2015,Other (12)
2009,Cayuga,12,4574.089388581408,2008-2015,Other (12)
2009,Chautauqua,12,27.333421000966958,2008-2015,Other (12)
2009,Chemung,12,63.02777356679125,2008-2015,Other (12)
2009,Columbia,12,62.85022800591074,2008-2015,Other (12)
2009,Cortland,12,13.288547205347127,2008-2015,Other (12)
2009,Dutchess,12,185.62991694225295,2008-2015,Other (12)
2009,Erie,12,291.33571910194564,2008-2015,Other (12)
2009,Genesee,12,3137.2879731774146,2008-2015,Other (12)
2009,Greene,12,78.2408683409088,2008-2015,Other (12)
2009,Lewis,12,2.9915950539993217,2008-2015,Other (12)
2009,Livingston,12,2350.5636498125814,2008-2015,Other (12)
2009,Madison,12,33.855101326710944,2008-2015,Other (12)
2009,Monroe,12,3266.377694851915,2008-2015,Other (12)
2009,Niagara,12,344.8734852629108,2008-2015,Other (12)
2009,Onondaga,12,122.53720137309038,2008-2015,Other (12)
2009,Ontario,12,742.9015197197259,2008-2015,Other (12)
2009,Orange,12,16.31446200302707,2008-2015,Other (12)
2009,Orleans,12,3639.3211353896545,2008-2015,Other (12)
2009,Oswego,12,3.194742804295309,2008-2015,Other (12)
2009,Rensselaer,12,22.201199536567287,2008-2015,Other (12)
2009,Saratoga,12,12.232352220500651,2008-2015,Other (12)
2009,Seneca,12,57.46324553385674,2008-2015,Other (12)
2009,Suffolk,12,180.83041547840674,2008-2015,Other (12)
2009,Tioga,12,20.99343545153514,2008-2015,Other (12)
2009,Tompkins,12,206.70664094143606,2008-2015,Other (12)
2009,Ulster,12,2333.3585967345352,2008-2015,Other (12)
2009,Washington,12,4.31186404445716,2008-2015,Other (12)
2009,Wayne,12,28.95040594294022,2008-2015,Other (12)
2009,Wyoming,12,219.2092482749263,2008-2015,Other (12)
2009,Yates,12,1391.0074155932389,2008-2015,Other (12)
2010,Albany,12,61.13513861762707,2008-2015,Other (12)
2010,Allegany,12,131.20695716556546,2008-2015,Other (12)
2010,Cattaraugus,12,38.102535750772056,2008-2015,Other (12)
2010,Cayuga,12,3554.55133556435,2008-2015,Other (12)
2010,Chautauqua,12,7.612353039281961,2008-2015,Other (12)
2010,Chemung,12,8.398828825939813,2008-2015,Other (12)
2010,Chenango,12,4.447973765785383,2008-2015,Other (12)
2010,Clinton,12,15.103604004084556,2008-2015,Other (12)
2010,Columbia,12,16.20537169810602,2008-2015,Other (12)
2010,Cortland,12,38.44877735425856,2008-2015,Other (12)
2010,Dutchess,12,35.19981064947395,2008-2015,Other (12)
2010,Erie,12,66.99075747313907,2008-2015,Other (12)
2010,Essex,12,168.16742354172507,2008-2015,Other (12)
2010,Genesee,12,1956.8078038714953,2008-2015,Other (12)
2010,Greene,12,90.70144158018901,2008-2015,Other (12)
2010,Jefferson,12,10.573983143097681,2008-2015,Other (12)
2010,Livingston,12,957.7910328387926,2008-2015,Other (12)
2010,Madison,12,12.266368590689769,2008-2015,Other (12)
2010,Monroe,12,2374.1203626926613,2008-2015,Other (12)
2010,Niagara,12,4.310833958552477,2008-2015,Other (12)
2010,Oneida,12,3.147469064476939,2008-2015,Other (12)
2010,Onondaga,12,161.27744410630027,2008-2015,Other (12)
2010,Ontario,12,556.1366217894569,2008-2015,Other (12)
2010,Orange,12,46.11904449188835,2008-2015,Other (12)
2010,Orleans,12,1649.9073951143148,2008-2015,Other (12)
2010,Oswego,12,26.23622645181124,2008-2015,Other (12)
2010,Otsego,12,3.0349918410745715,2008-2015,Other (12)
2010,Rensselaer,12,85.96476622247022,2008-2015,Other (12)
2010,Saratoga,12,43.38739423343889,2008-2015,Other (12)
2010,Schenectady,12,28.66356078236508,2008-2015,Other (12)
2010,Seneca,12,38.24428730613478,2008-2015,Other (12)
2010,Steuben,12,24.336099153519278,2008-2015,Other (12)
2010,Suffolk,12,408.66093258471386,2008-2015,Other (12)
2010,Tioga,12,14.995473749412088,2008-2015,Other (12)
2010,Tompkins,12,400.28114994619153,2008-2015,Other (12)
2010,Ulster,12,2362.0281448587275,2008-2015,Other (12)
2010,Warren,12,3.6970597150727658,2008-2015,Other (12)
2010,Washington,12,37.22011990532195,2008-2015,Other (12)
2010,Wayne,12,23.065481710855174,2008-2015,Other (12)
2010,Wyoming,12,348.3971925161486,2008-2015,Other (12)
2010,Yates,12,836.6798395791747,2008-2015,Other (12)
2011,Albany,12,18.088460103802806,2008-2015,Other (12)
2011,Cayuga,12,2937.9788248344694,2008-2015,Other (12)
2011,Chemung,12,19.920263361456065,2008-2015,Other (12)
2011,Chenango,12,16.810481571762928,2008-2015,Other (12)
2011,Clinton,12,9.562416714448242,2008-2015,Other (12)
2011,Columbia,12,64.7829338623469,2008-2015,Other (12)
2011,Cortland,12,12.753777004679971,2008-2015,Other (12)
2011,Dutchess,12,164.74963067144222,2008-2015,Other (12)
2011,Erie,12,47.77865165483628,2008-2015,Other (12)
2011,Genesee,12,1151.4728514218803,2008-2015,Other (12)
2011,Greene,12,282.0555451186072,2008-2015,Other (12)
2011,Livingston,12,314.1629654713458,2008-2015,Other (12)
2011,Monroe,12,1462.567877034103,2008-2015,Other (12)
2011,Montgomery,12,3.6994111179406075,2008-2015,Other (12)
2011,Oneida,12,37.90948515610672,2008-2015,Other (12)
2011,Ontario,12,280.46722118521154,2008-2015,Other (12)
2011,Orleans,12,872.2331705851145,2008-2015,Other (12)
2011,Rensselaer,12,50.973047530629216,2008-2015,Other (12)
2011,Saratoga,12,20.196456393479803,2008-2015,Other (12)
2011,Schuyler,12,6.087288036938631,2008-2015,Other (12)
2011,Seneca,12,140.89843468441492,2008-2015,Other (12)
2011,Suffolk,12,123.20843777865505,2008-2015,Other (12)
2011,Tioga,12,6.023398203722217,2008-2015,Other (12)
2011,Tompkins,12,248.6992365381275,2008-2015,Other (12)
2011,Ulster,12,2488.809735944072,2008-2015,Other (12)
2011,Washington,12,29.87798852793148,2008-2015,Other (12)
2011,Yates,12,358.48570494463536,2008-2015,Other (12)
2012,Albany,12,11.085280370074749,2008-2015,Other (12)
2012,Allegany,12,23.09968541064168,2008-2015,Other (12)
2012,Cattaraugus,12,3.489762947459988,2008-2015,Other (12)
2012,Cayuga,12,2807.4113547255765,2008-2015,Other (12)
2012,Clinton,12,3.9428987616755196,2008-2015,Other (12)
2012,Columbia,12,31.4558861672436,2008-2015,Other (12)
2012,Cortland,12,12.554625375278516,2008-2015,Other (12)
2012,Dutchess,12,148.3069923916508,2008-2015,Other (12)
2012,Erie,12,12.812049363511214,2008-2015,Other (12)
2012,Fulton,12,3.628277168895482,2008-2015,Other (12)
2012,Genesee,12,1962.6869775656885,2008-2015,Other (12)
2012,Greene,12,22.510334986354444,2008-2015,Other (12)
2012,Jefferson,12,3.749352087143166,2008-2015,Other (12)
2012,Lewis,12,3.4013258018172583,2008-2015,Other (12)
2012,Livingston,12,253.79522192150958,2008-2015,Other (12)
2012,Madison,12,32.44762017067047,2008-2015,Other (12)
2012,Monroe,12,1789.1936753083196,2008-2015,Other (12)
2012,Montgomery,12,13.221601576704483,2008-2015,Other (12)
2012,Onondaga,12,139.52144881852504,2008-2015,Other (12)
2012,Ontario,12,83.96695610599886,2008-2015,Other (12)
2012,Orange,12,43.43775382277814,2008-2015,Other (12)
2012,Orleans,12,954.2001620196907,2008-2015,Other (12)
2012,Oswego,12,15.64001464214328,2008-2015,Other (12)
2012,Putnam,12,5.087416313916385,2008-2015,Other (12)
2012,Rensselaer,12,10.282189858252577,2008-2015,Other (12)
2012,Saratoga,12,37.22399407635702,2008-2015,Other (12)
2012,Schoharie,12,23.722557476086592,2008-2015,Other (12)
2012,Schuyler,12,3.13517091603693,2008-2015,Other (12)
2012,Seneca,12,62.280154818435896,2008-2015,Other (12)
2012,Suffolk,12,288.456991107407,2008-2015,Other (12)
2012,Tioga,12,2.3888233542773007,2008-2015,Other (12)
2012,Tompkins,12,221.79606607400413,2008-2015,Other (12)
2012,Ulster,12,2143.2960275073965,2008-2015,Other (12)
2012,Washington,12,51.186983466362356,2008-2015,Other (12)
2012,Wayne,12,110.38419486250153,2008-2015,Other (12)
2012,Wyoming,12,226.3585334244177,2008-2015,Other (12)
2012,Yates,12,420.61276527419983,2008-2015,Other (12)
2013,Albany,12,4.787631333541583,2008-2015,Other (12)
2013,Allegany,12,102.67857347915613,2008-2015,Other (12)
2013,Cattaraugus,12,27.39366020909164,2008-2015,Other (12)
2013,Cayuga,12,1572.5091115942241,2008-2015,Other (12)
2013,Chautauqua,12,2.3810200556149783,2008-2015,Other (12)
2013,Columbia,12,2.377978093676366,2008-2015,Other (12)
2013,Cortland,12,9.015429973450885,2008-2015,Other (12)
2013,Dutchess,12,87.54614792771554,2008-2015,Other (12)
2013,Erie,12,116.62851212880669,2008-2015,Other (12)
2013,Genesee,12,2436.9757097525226,2008-2015,Other (12)
2013,Livingston,12,330.61118309249696,2008-2015,Other (12)
2013,Monroe,12,1995.8767916540176,2008-2015,Other (12)
2013,Montgomery,12,3.68490647575395,2008-2015,Other (12)
2013,Niagara,12,8.26281427721126,2008-2015,Other (12)
2013,Oneida,12,4.021930312866555,2008-2015,Other (12)
2013,Onondaga,12,110.09136161217747,2008-2015,Other (12)
2013,Ontario,12,137.25518166567463,2008-2015,Other (12)
2013,Orange,12,262.97264611536417,2008-2015,Other (12)
2013,Orleans,12,590.0462903928252,2008-2015,Other (12)
2013,Oswego,12,10.934203354602074,2008-2015,Other (12)
2013,Rensselaer,12,6.0771328987537725,2008-2015,Other (12)
2013,Saratoga,12,2.733797479233706,2008-2015,Other (12)
2013,Seneca,12,2.5431724353633864,2008-2015,Other (12)
2013,Steuben,12,3.4487723727935142,2008-2015,Other (12)
2013,Suffolk,12,803.085459822752,2008-2015,Other (12)
2013,Tompkins,12,113.31637052213686,2008-2015,Other (12)
2013,Ulster,12,1569.3598672999487,2008-2015,Other (12)
2013,Washington,12,22.14544251742182,2008-2015,Other (12)
2013,Wayne,12,35.94564629736086,2008-2015,Other (12)
2013,Wyoming,12,97.34766622734041,2008-2015,Other (12)
