Year,CNTY,Crop_Code,CSBACRES,Source_Window,Crop_Name
2008,Albany,37,17724.718545666794,2008-2015,Other Hay
2008,Allegany,37,48134.40375338695,2008-2015,Other Hay
2008,Broome,37,12581.577194299109,2008-2015,Other Hay
2008,Cattaraugus,37,57646.89904153636,2008-2015,Other Hay
2008,Cayuga,37,7119.568742486285,2008-2015,Other Hay
2008,Chautauqua,37,58886.34095462397,2008-2015,Other Hay
2008,Chemung,37,12205.298465418215,2008-2015,Other Hay
2008,Chenango,37,17538.906078449243,2008-2015,Other Hay
2008,Clinton,37,1812.231214460264,2008-2015,Other Hay
2008,Columbia,37,12723.170462178861,2008-2015,Other Hay
2008,Cortland,37,17485.272979029218,2008-2015,Other Hay
2008,Delaware,37,40655.09990535801,2008-2015,Other Hay
2008,Dutchess,37,4317.799518381244,2008-2015,Other Hay
2008,Erie,37,32916.37466278277,2008-2015,Other Hay
2008,Essex,37,1579.4318114256232,2008-2015,Other Hay
2008,Franklin,37,41824.68682606989,2008-2015,Other Hay
2008,Fulton,37,14295.719520153449,2008-2015,Other Hay
2008,Genesee,37,585.6563344999336,2008-2015,Other Hay
2008,Greene,37,9891.36810497136,2008-2015,Other Hay
2008,Hamilton,37,33.21239577131755,2008-2015,Other Hay
2008,Herkimer,37,45565.950634045024,2008-2015,Other Hay
2008,Jefferson,37,108223.40552318071,2008-2015,Other Hay
2008,Lewis,37,31723.12917343399,2008-2015,Other Hay
2008,Livingston,37,8627.371795064979,2008-2015,Other Hay
2008,Madison,37,18554.99976948882,2008-2015,Other Hay
2008,Monroe,37,2234.034156609241,2008-2015,Other Hay
2008,Montgomery,37,69791.79105250703,2008-2015,Other Hay
2008,Niagara,37,11423.051710203556,2008-2015,Other Hay
2008,Oneida,37,25131.209890826885,2008-2015,Other Hay
2008,Onondaga,37,4493.158237607723,2008-2015,Other Hay
2008,Ontario,37,9452.554943871259,2008-2015,Other Hay
2008,Orange,37,29264.33496889801,2008-2015,Other Hay
2008,Orleans,37,376.4706789453902,2008-2015,Other Hay
2008,Oswego,37,15589.019847503423,2008-2015,Other Hay
2008,Otsego,37,38096.848460766756,2008-2015,Other Hay
2008,Putnam,37,50.00904497877798,2008-2015,Other Hay
2008,Rensselaer,37,9035.187354041338,2008-2015,Other Hay
2008,Rockland,37,23.068477080108565,2008-2015,Other Hay
2008,Saratoga,37,15354.947967221678,2008-2015,Other Hay
2008,Schenectady,37,9220.848771483677,2008-2015,Other Hay
2008,Schoharie,37,31779.13918010614,2008-2015,Other Hay
2008,Schuyler,37,10492.196092902523,2008-2015,Other Hay
2008,Seneca,37,4955.204876486637,2008-2015,Other Hay
2008,St. Lawrence,37,77821.89895528402,2008-2015,Other Hay
2008,Steuben,37,90708.13982644715,2008-2015,Other Hay
2008,Suffolk,37,46.31200357464474,2008-2015,Other Hay
2008,Sullivan,37,18557.728064447583,2008-2015,Other Hay
2008,Tioga,37,30317.50686158677,2008-2015,Other Hay
2008,Tompkins,37,14188.536938340212,2008-2015,Other Hay
2008,Ulster,37,9360.367965016747,2008-2015,Other Hay
2008,Warren,37,615.7147759706495,2008-2015,Other Hay
2008,Washington,37,18910.85964431667,2008-2015,Other Hay
2008,Wayne,37,3854.619674710067,2008-2015,Other Hay
2008,Westchester,37,212.1912496864186,2008-2015,Other Hay
2008,Wyoming,37,22313.963924439016,2008-2015,Other Hay
2008,Yates,37,7654.7550035009845,2008-2015,Other Hay
