Year,CNTY,Crop_Code,CSBACRES,Source_Window,Crop_Name
2008,Cattaraugus,4,24.16572816166001,2008-2015,Sorghum
2008,Clinton,4,5.282861072181935,2008-2015,Sorghum
2008,Columbia,4,11.417289724553095,2008-2015,Sorghum
2008,Dutchess,4,186.24086809933166,2008-2015,Sorghum
2008,Erie,4,10.74667396810235,2008-2015,Sorghum
2008,Franklin,4,40.62086608869274,2008-2015,Sorghum
2008,Jefferson,4,62.27661795185641,2008-2015,Sorghum
2008,Livingston,4,14.93775204590128,2008-2015,Sorghum
2008,Madison,4,9.56601300216404,2008-2015,Sorghum
2008,Niagara,4,12.360082678053502,2008-2015,Sorghum
2008,Oneida,4,2.560385495789182,2008-2015,Sorghum
2008,Schuyler,4,4.6543449220260715,2008-2015,Sorghum
2008,St. Lawrence,4,873.1078751296751,2008-2015,Sorghum
2008,Steuben,4,25.18374692416483,2008-2015,Sorghum
2008,Tompkins,4,14.696736594243541,2008-2015,Sorghum
2008,Washington,4,31.820555632280527,2008-2015,Sorghum
2008,Wayne,4,5.094250463698303,2008-2015,Sorghum
2008,Wyoming,4,41.84446836654933,2008-2015,Sorghum
2009,Allegany,4,31.703003730791792,2008-2015,Sorghum
2009,Cattaraugus,4,11.464660949246472,2008-2015,Sorghum
2009,Chautauqua,4,11.800416338497339,2008-2015,Sorghum
2009,Chenango,4,48.54543977669865,2008-2015,Sorghum
2009,Clinton,4,8.769495542936562,2008-2015,Sorghum
2009,Delaware,4,20.285265231943402,2008-2015,Sorghum
2009,Dutchess,4,26.12700514875108,2008-2015,Sorghum
2009,Erie,4,21.15868252736183,2008-2015,Sorghum
2009,Franklin,4,40.78215061109457,2008-2015,Sorghum
2009,Jefferson,4,10.545470585050683,2008-2015,Sorghum
2009,Lewis,4,80.61137868302569,2008-2015,Sorghum
2009,Livingston,4,14.515040629759893,2008-2015,Sorghum
2009,Montgomery,4,12.847610883435557,2008-2015,Sorghum
2009,Niagara,4,23.562257628083167,2008-2015,Sorghum
2009,Oneida,4,9.561653553209903,2008-2015,Sorghum
2009,Orange,4,4.9745944392715025,2008-2015,Sorghum
2009,St. Lawrence,4,32.0182651327385,2008-2015,Sorghum
2009,Washington,4,27.252885633491495,2008-2015,Sorghum
2009,Wyoming,4,33.246923968092844,2008-2015,Sorghum
2010,Allegany,4,6.312449189513028,2008-2015,Sorghum
2010,Cayuga,4,2.6195170265190537,2008-2015,Sorghum
2010,Clinton,4,10.607574715810777,2008-2015,Sorghum
2010,Columbia,4,35.29402461094725,2008-2015,Sorghum
2010,Essex,4,6.480160276927874,2008-2015,Sorghum
2010,Franklin,4,186.11856569689166,2008-2015,Sorghum
2010,Fulton,4,3.1309282124788487,2008-2015,Sorghum
2010,Herkimer,4,23.92297085949531,2008-2015,Sorghum
2010,Lewis,4,8.835726831655876,2008-2015,Sorghum
2010,Montgomery,4,5.207879750022795,2008-2015,Sorghum
2010,Onondaga,4,3.589220991829293,2008-2015,Sorghum
2010,Orange,4,26.056046683842368,2008-2015,Sorghum
2010,Otsego,4,3.22911829069065,2008-2015,Sorghum
2010,Schoharie,4,21.14482149547555,2008-2015,Sorghum
2010,St. Lawrence,4,29.105586101426763,2008-2015,Sorghum
2010,Steuben,4,113.43545388097534,2008-2015,Sorghum
2010,Sullivan,4,2.576756469785312,2008-2015,Sorghum
2010,Wyoming,4,8.153939774864732,2008-2015,Sorghum
2011,Allegany,4,2.8544607757991822,2008-2015,Sorghum
2011,Broome,4,3.938636966907707,2008-2015,Sorghum
2011,Cayuga,4,19.336321497657373,2008-2015,Sorghum
2011,Franklin,4,23.61650086493446,2008-2015,Sorghum
