Date,tavg,pcp,county
201601,25.9,1.44,Albany
201602,29.5,3.91,Albany
201603,40.6,1.16,Albany
201604,44.3,2.07,Albany
201605,57.3,2.89,Albany
201606,65.7,2.64,Albany
201607,71.8,4.12,Albany
201608,71.5,3.93,Albany
201609,64.5,2.05,Albany
201610,51.8,3.27,Albany
201611,40.6,2.84,Albany
201612,29.1,2.38,Albany
201701,29.6,3.35,Albany
201702,31.9,2.89,Albany
201703,30.4,3.28,Albany
201704,50.8,4.21,Albany
201705,55.5,6,Albany
201706,65.4,4.64,Albany
201707,69.6,3.69,Albany
201708,67.3,2.96,Albany
201709,64.2,2.21,Albany
201710,56.3,3.96,Albany
201711,38.3,0.91,Albany
201712,24.6,1.83,Albany
201801,21.2,2.65,Albany
201802,31.5,2.98,Albany
201803,32.1,3.11,Albany
201804,39.5,3.81,Albany
201805,61.6,2.26,Albany
201806,64.9,2.96,Albany
201807,73.3,4.54,Albany
201808,72.3,7.02,Albany
201809,65.1,5.9,Albany
201810,49.1,3.88,Albany
201811,35.4,5.96,Albany
201812,30,2.59,Albany
201901,21.7,4.23,Albany
201902,26.2,2.36,Albany
201903,32.2,1.36,Albany
201904,47.5,4.19,Albany
201905,56.6,3.89,Albany
201906,64.8,4.59,Albany
201907,72.3,3.73,Albany
201908,68.7,4.12,Albany
201909,61.1,1.53,Albany
201910,51.8,7.12,Albany
201911,35,3.3,Albany
201912,28,4.37,Albany
202001,29.8,1.9,Albany
202002,30.1,2.96,Albany
202003,39.8,2.58,Albany
202004,43.7,3.23,Albany
202005,56.8,2.33,Albany
202006,67.3,2.15,Albany
202007,74.3,3.45,Albany
202008,69.9,6.05,Albany
202009,60.9,2.87,Albany
202010,51.2,3.1,Albany
202011,42.2,2.39,Albany
202012,31.3,4.41,Albany
202101,25.5,1.63,Albany
202102,24,1.84,Albany
202103,36.2,1.66,Albany
202104,48,3.78,Albany
202105,56.7,3.67,Albany
202106,68.2,2.69,Albany
202107,69.6,8.25,Albany
202108,71.3,4.68,Albany
202109,63.3,6.1,Albany
202110,55.8,7.05,Albany
202111,38.2,2.36,Albany
202112,35.4,2.29,Albany
202201,19,1.39,Albany
202202,26.3,2.76,Albany
202203,35.5,2.69,Albany
202204,46.2,5.81,Albany
202205,60.4,1.99,Albany
202206,65.3,2.41,Albany
202207,72.1,1.92,Albany
202208,72.8,3.63,Albany
202209,61.9,4.92,Albany
202210,50.6,3.78,Albany
202211,42.8,2.77,Albany
202212,30.7,4.2,Albany
202301,32.1,3.3,Albany
202302,31,1.47,Albany
202303,35.4,3.54,Albany
202304,50.8,3.82,Albany
202305,56.2,2,Albany
202306,64.6,3.9,Albany
202307,73.1,6.81,Albany
202308,67.8,5.37,Albany
202309,63.6,4.81,Albany
202310,55.4,3.66,Albany
202311,38,1.86,Albany
202312,36.3,5.6,Albany
202401,28.9,5.28,Albany
202402,32.3,0.69,Albany
202403,38.9,6.14,Albany
202404,47.2,3.44,Albany
202405,62.4,2.97,Albany
202406,69,3.34,Albany
202407,74.2,2.68,Albany
202408,69.3,6.86,Albany
202409,63.6,1.49,Albany
202410,52.4,1.34,Albany
202411,43.2,3.47,Albany
202412,27.7,3.27,Albany
202501,22.6,1.14,Albany
202502,24.9,2.43,Albany
202503,39,2.15,Albany
202504,47.3,3.38,Albany
202505,57.3,7.26,Albany
202506,67.6,4.69,Albany
202507,74,2.6,Albany
202508,67.9,1.99,Albany
202509,62.7,3.86,Albany
202510,51.4,3.91,Albany
202511,37.8,2.59,Albany
202512,24.9,2.92,Albany
201601,23,1.6,Allegany
201602,27.2,3.16,Allegany
201603,38.5,1.85,Allegany
201604,41,2.78,Allegany
201605,54.8,2.68,Allegany
201606,63.3,2.69,Allegany
201607,69.1,2,Allegany
201608,71,4.65,Allegany
201609,62.4,3.08,Allegany
201610,51,7.39,Allegany
201611,40.6,1.63,Allegany
201612,27.6,3.9,Allegany
201701,28.5,3.63,Allegany
201702,33.1,3.03,Allegany
201703,30,3.04,Allegany
201704,49.5,4.25,Allegany
201705,54.3,4.57,Allegany
201706,63.8,4.28,Allegany
201707,67.6,4.86,Allegany
201708,64.6,2.16,Allegany
201709,60.8,2.95,Allegany
201710,53.7,5.96,Allegany
201711,36,3.44,Allegany
201712,23.8,2.09,Allegany
201801,19.2,3.75,Allegany
201802,31,2.49,Allegany
201803,28.6,2.75,Allegany
201804,37.9,3.07,Allegany
201805,61.4,3.56,Allegany
201806,63.2,3.76,Allegany
201807,69.1,6.34,Allegany
201808,69.1,5.43,Allegany
201809,64.8,5.28,Allegany
201810,48.6,5.79,Allegany
201811,33.5,4.66,Allegany
201812,30.6,2.59,Allegany
201901,20.6,3.37,Allegany
201902,26.1,2.49,Allegany
201903,30,1.4,Allegany
201904,45,3.81,Allegany
201905,56,4.26,Allegany
201906,62.6,5.87,Allegany
201907,70.4,4.45,Allegany
201908,66.3,3.5,Allegany
201909,61.4,2.72,Allegany
201910,50.7,4.43,Allegany
201911,33.4,2.45,Allegany
201912,28.9,3.53,Allegany
202001,28.4,2.36,Allegany
202002,27.4,3.6,Allegany
202003,38.6,2.78,Allegany
202004,41.1,3.06,Allegany
202005,53.6,3.72,Allegany
202006,64.9,2.78,Allegany
202007,71.9,4.55,Allegany
202008,68.3,2.44,Allegany
202009,59.4,2.46,Allegany
202010,48.9,3.75,Allegany
202011,42.6,2.01,Allegany
202012,29.3,3.45,Allegany
202101,26,1.41,Allegany
202102,22,1.78,Allegany
202103,36.8,1.3,Allegany
202104,46.1,3.88,Allegany
202105,54.3,3.05,Allegany
202106,66.8,4.15,Allegany
202107,67.9,8.29,Allegany
202108,70.2,5.29,Allegany
202109,61.8,4.94,Allegany
202110,55.9,5.95,Allegany
202111,37.1,2.35,Allegany
202112,34,2.57,Allegany
202201,16.9,2.32,Allegany
202202,24.2,4.01,Allegany
202203,34.7,2.54,Allegany
202204,44.4,2.59,Allegany
202205,58,2.84,Allegany
202206,64.6,2.33,Allegany
202207,68.8,3.61,Allegany
202208,69,3.63,Allegany
202209,60.7,5.6,Allegany
202210,47.9,1.06,Allegany
202211,40.6,4.07,Allegany
202212,28.3,2.45,Allegany
202301,32.1,3.56,Allegany
202302,30.8,2.03,Allegany
202303,32.7,3.28,Allegany
202304,48.9,2.66,Allegany
202305,53.4,1.92,Allegany
202306,62.2,2.87,Allegany
202307,69.7,4.42,Allegany
202308,65.7,3.4,Allegany
202309,61,2.38,Allegany
202310,52,2.84,Allegany
202311,37,1.86,Allegany
202312,35.9,3.43,Allegany
202401,27.1,4.06,Allegany
202402,32.3,1.32,Allegany
202403,37.9,2.48,Allegany
202404,47.4,4.91,Allegany
202405,60.6,2.87,Allegany
202406,66.5,5.13,Allegany
202407,69.9,2.79,Allegany
202408,67,4.75,Allegany
202409,63,3.71,Allegany
202410,50,2.01,Allegany
202411,42.2,2.9,Allegany
202412,28.1,2.35,Allegany
202501,19.6,1.23,Allegany
202502,24.1,2.61,Allegany
202503,38.3,2.12,Allegany
202504,46.7,3.76,Allegany
202505,55.2,5.81,Allegany
202506,67.2,4.65,Allegany
202507,72,2.68,Allegany
202508,64.8,2.55,Allegany
202509,60.8,1.2,Allegany
202510,49.1,3.85,Allegany
202511,36.6,3.38,Allegany
202512,23.4,2.52,Allegany
201601,34.2,3.82,Bronx
201602,37.2,4.15,Bronx
201603,47.8,1.35,Bronx
201604,51.8,1.95,Bronx
201605,62,3.76,Bronx
201606,72,2.35,Bronx
201607,79.1,5.81,Bronx
201608,79.3,1.46,Bronx
201609,71.5,2.59,Bronx
201610,58.9,4.23,Bronx
201611,49.8,5.11,Bronx
201612,38.3,3.03,Bronx
201701,38.4,4.06,Bronx
201702,41,1.97,Bronx
201703,39.2,4.76,Bronx
201704,56.2,4.09,Bronx
201705,60.6,6.14,Bronx
201706,71.9,3.98,Bronx
201707,76.6,4.18,Bronx
201708,74,3.4,Bronx
201709,70.2,2,Bronx
201710,63.8,4.4,Bronx
201711,46,1.75,Bronx
201712,34.7,1.91,Bronx
201801,30.7,2.17,Bronx
201802,40.8,5.73,Bronx
201803,39.6,4.42,Bronx
201804,47.9,5.23,Bronx
201805,66,3.5,Bronx
201806,71.3,3.49,Bronx
201807,78,5.8,Bronx
201808,78.7,6.74,Bronx
201809,70.9,6.6,Bronx
201810,57.7,3.64,Bronx
201811,44,7.69,Bronx
201812,39.4,6.79,Bronx
201901,32.2,4.01,Bronx
201902,35.4,3.25,Bronx
201903,40.3,3.68,Bronx
201904,53.8,4.42,Bronx
201905,61.4,6.68,Bronx
201906,71.5,4.76,Bronx
201907,79.8,6.32,Bronx
201908,75.7,3.36,Bronx
201909,70,0.78,Bronx
201910,59.6,6.48,Bronx
201911,43,1.83,Bronx
201912,37.8,6.89,Bronx
202001,38.7,1.92,Bronx
202002,39.5,2.68,Bronx
202003,47,3.77,Bronx
202004,49.4,4.46,Bronx
202005,59.6,1.72,Bronx
202006,73.4,1.87,Bronx
202007,80.6,5.96,Bronx
202008,77.2,4.28,Bronx
202009,68.6,3.75,Bronx
202010,58,5.28,Bronx
202011,51.7,4.39,Bronx
202012,38.8,3.71,Bronx
202101,34.7,2.21,Bronx
202102,33.2,4.14,Bronx
202103,44.4,3.12,Bronx
202104,53.2,2.71,Bronx
202105,61.6,4.56,Bronx
202106,73.6,2.85,Bronx
202107,76.2,8.23,Bronx
202108,77.4,7.2,Bronx
202109,70.2,8.82,Bronx
202110,62.6,5.26,Bronx
202111,46,1.02,Bronx
202112,43.1,1.42,Bronx
202201,30,3.72,Bronx
202202,36.1,3.16,Bronx
202203,43.9,2.46,Bronx
202204,51.5,4.68,Bronx
202205,63.5,4.68,Bronx
202206,70.9,3.4,Bronx
202207,79.5,3.21,Bronx
202208,79.1,1.65,Bronx
202209,69.3,4.06,Bronx
202210,56.6,5.44,Bronx
202211,49.8,3.24,Bronx
202212,37.3,4.9,Bronx
202301,42.5,4.47,Bronx
202302,39.3,1.33,Bronx
202303,43.4,3.35,Bronx
202304,55.8,7.28,Bronx
202305,61.4,1.81,Bronx
202306,69.5,1.64,Bronx
202307,78.8,5.36,Bronx
202308,74.5,6.17,Bronx
202309,69.3,11.97,Bronx
202310,60.3,4.14,Bronx
202311,45.5,2.87,Bronx
202312,43.2,7.1,Bronx
202401,36.3,5.73,Bronx
202402,38.4,1.89,Bronx
202403,46.7,9.22,Bronx
202404,53.2,3.71,Bronx
202405,64.2,3.63,Bronx
202406,74.8,2.31,Bronx
202407,79,3.74,Bronx
202408,75.4,7.67,Bronx
202409,68.3,1.22,Bronx
202410,60.4,0.02,Bronx
202411,51,3.22,Bronx
202412,37.5,4.86,Bronx
202501,31.2,0.55,Bronx
202502,34.6,2.54,Bronx
202503,46.3,4.67,Bronx
202504,54.4,2.89,Bronx
202505,62.3,5.68,Bronx
202506,73.3,2.48,Bronx
202507,80,3.91,Bronx
202508,73.9,1.8,Bronx
202509,70,2.63,Bronx
202510,58.5,4.69,Bronx
202511,46.5,1.89,Bronx
202512,33.4,3.33,Bronx
201601,24.3,1.62,Broome
201602,28.1,4.2,Broome
201603,39.8,1.51,Broome
201604,42.1,2.91,Broome
201605,55.6,2.73,Broome
201606,64.7,2.81,Broome
201607,70.9,3.47,Broome
201608,70.7,5.33,Broome
201609,63.1,1.74,Broome
201610,50.8,5.57,Broome
201611,40.4,1.97,Broome
201612,28,3.41,Broome
