Rotation_Type,Window,CSBACRES,Strategy_Category
Complex/Mixed,2008-2015,2279744.105533106,Complex/Mixed
Cont. Alfalfa,2008-2015,16247.232066010793,Continuous
Cont. Corn,2008-2015,167753.0530171288,Continuous
Cont. Developed,2008-2015,8.66044798883853,Continuous
Cont. Forest,2008-2015,22.385011037444166,Continuous
Cont. Grass/Pasture,2008-2015,251.24154520971481,Continuous
Cont. Other (12),2008-2015,26.989647291948387,Continuous
Cont. Other (43),2008-2015,40.62506662087243,Continuous
Cont. Other (49),2008-2015,2210.91570617077,Continuous
Cont. Other (66),2008-2015,5.598835304044546,Continuous
Cont. Other (68),2008-2015,6694.652134590875,Continuous
Cont. Other (69),2008-2015,15851.469441893081,Continuous
Cont. Other Hay,2008-2015,344884.62795920775,Continuous
Cont. Soybeans,2008-2015,2945.7935728873435,Continuous
Rot Alfalfa-Barley,2008-2015,52.870399654231605,Rotation
Rot Alfalfa-Corn,2008-2015,344686.7104634815,Rotation
Rot Alfalfa-Developed,2008-2015,331.91230937854294,Rotation
Rot Alfalfa-Fallow,2008-2015,316.55918886365623,Rotation
Rot Alfalfa-Forest,2008-2015,277.1023717406097,Rotation
Rot Alfalfa-Grass/Pasture,2008-2015,14992.039429211749,Rotation
Rot Alfalfa-Other (12),2008-2015,34.60903134785815,Rotation
Rot Alfalfa-Other (122),2008-2015,7.815110420488442,Rotation
Rot Alfalfa-Other (123),2008-2015,3.9416517427418682,Rotation
Rot Alfalfa-Other (124),2008-2015,5.608024732913563,Rotation
Rot Alfalfa-Other (142),2008-2015,5.764786501529343,Rotation
Rot Alfalfa-Other (143),2008-2015,4.384488122935457,Rotation
Rot Alfalfa-Other (152),2008-2015,9.166247711490865,Rotation
Rot Alfalfa-Other (190),2008-2015,23.301611319627234,Rotation
Rot Alfalfa-Other (195),2008-2015,6.4867743452873645,Rotation
Rot Alfalfa-Other (205),2008-2015,5.778597792282705,Rotation
Rot Alfalfa-Other (229),2008-2015,20.5676166524192,Rotation
Rot Alfalfa-Other (243),2008-2015,5.511282431075749,Rotation
Rot Alfalfa-Other (27),2008-2015,74.8076687467807,Rotation
Rot Alfalfa-Other (28),2008-2015,647.60553523089,Rotation
Rot Alfalfa-Other (42),2008-2015,210.9703155093841,Rotation
Rot Alfalfa-Other (43),2008-2015,91.93898684225557,Rotation
Rot Alfalfa-Other (49),2008-2015,18.79942015272004,Rotation
Rot Alfalfa-Other (50),2008-2015,35.48197053800468,Rotation
Rot Alfalfa-Other (53),2008-2015,27.19830506476861,Rotation
Rot Alfalfa-Other (58),2008-2015,4.998914081751154,Rotation
Rot Alfalfa-Other (66),2008-2015,57.1230847998755,Rotation
Rot Alfalfa-Other (68),2008-2015,312.94536670161665,Rotation
Rot Alfalfa-Other (69),2008-2015,81.63222899690408,Rotation
Rot Alfalfa-Other Hay,2008-2015,109020.76549169859,Rotation
Rot Alfalfa-Sod/Grass Seed,2008-2015,58.93504610752779,Rotation
Rot Alfalfa-Sorghum,2008-2015,151.72527148050054,Rotation
Rot Alfalfa-Soybeans,2008-2015,1150.019941693677,Rotation
Rot Alfalfa-Winter Wheat,2008-2015,1287.1671409675646,Rotation
Rot Barley-Corn,2008-2015,267.42858409895257,Rotation
Rot Barley-Other Hay,2008-2015,122.76920112219602,Rotation
Rot Corn-Developed,2008-2015,635.7363666182769,Rotation
Rot Corn-Fallow,2008-2015,8893.608242014321,Rotation
Rot Corn-Forest,2008-2015,5748.95825426422,Rotation
Rot Corn-Grass/Pasture,2008-2015,29590.683538231246,Rotation
Rot Corn-Other (111),2008-2015,1056.178719007872,Rotation
Rot Corn-Other (12),2008-2015,651.9646785756831,Rotation
Rot Corn-Other (122),2008-2015,180.872973022771,Rotation
Rot Corn-Other (123),2008-2015,56.080550281271925,Rotation
Rot Corn-Other (124),2008-2015,61.44866000909028,Rotation
Rot Corn-Other (131),2008-2015,334.45609459023433,Rotation
Rot Corn-Other (142),2008-2015,203.40544038202728,Rotation
Rot Corn-Other (152),2008-2015,1070.026425401788,Rotation
Rot Corn-Other (190),2008-2015,467.9411985439538,Rotation
Rot Corn-Other (195),2008-2015,1940.849643033026,Rotation
Rot Corn-Other (205),2008-2015,385.1595413366706,Rotation
Rot Corn-Other (206),2008-2015,57.542859096678,Rotation
Rot Corn-Other (222),2008-2015,198.19028974168586,Rotation
Rot Corn-Other (225),2008-2015,236.5945138675465,Rotation
Rot Corn-Other (229),2008-2015,69.12207908948865,Rotation
Rot Corn-Other (243),2008-2015,1208.2677676379456,Rotation
Rot Corn-Other (26),2008-2015,25.639556355017803,Rotation
Rot Corn-Other (27),2008-2015,797.5732096389123,Rotation
Rot Corn-Other (28),2008-2015,7409.665508913508,Rotation
Rot Corn-Other (41),2008-2015,69.77279962313757,Rotation
Rot Corn-Other (42),2008-2015,5288.749663253235,Rotation
Rot Corn-Other (43),2008-2015,4887.313079264962,Rotation
Rot Corn-Other (44),2008-2015,31.986450460483717,Rotation
Rot Corn-Other (47),2008-2015,22.543497529524384,Rotation
Rot Corn-Other (49),2008-2015,1122.2421005228757,Rotation
Rot Corn-Other (50),2008-2015,160.19310721809043,Rotation
Rot Corn-Other (53),2008-2015,1463.7402389715812,Rotation
Rot Corn-Other (54),2008-2015,20.722015864671793,Rotation
Rot Corn-Other (58),2008-2015,387.14179114766534,Rotation
Rot Corn-Other (6),2008-2015,75.88563708570996,Rotation
Rot Corn-Other (68),2008-2015,535.0263688375022,Rotation
Rot Corn-Other (69),2008-2015,1360.9530591690389,Rotation
Rot Corn-Other (70),2008-2015,66.83946702017884,Rotation
Rot Corn-Other Hay,2008-2015,160322.9034244196,Rotation
Rot Corn-Sod/Grass Seed,2008-2015,122.77928212755734,Rotation
Rot Corn-Sorghum,2008-2015,504.40943776121037,Rotation
Rot Corn-Soybeans,2008-2015,299342.1642227101,Rotation
Rot Corn-Spring Wheat,2008-2015,450.38293649999696,Rotation
Rot Corn-Winter Wheat,2008-2015,20117.213669698252,Rotation
Rot Developed-Grass/Pasture,2008-2015,7.913635260256831,Rotation
Rot Developed-Other (12),2008-2015,9.927253971634368,Rotation
Rot Developed-Other (27),2008-2015,10.993550271558808,Rotation
Rot Developed-Other (28),2008-2015,10.850934577365251,Rotation
Rot Developed-Other (42),2008-2015,4.677582189411709,Rotation
Rot Developed-Other (43),2008-2015,28.781714536931716,Rotation
Rot Developed-Other (44),2008-2015,3.2849860672978095,Rotation
Rot Developed-Other (66),2008-2015,3.058151541571584,Rotation
Rot Developed-Other (68),2008-2015,96.14484737473092,Rotation
Rot Developed-Other (69),2008-2015,7.505321498142929,Rotation
Rot Developed-Other Hay,2008-2015,4736.106292976899,Rotation
Rot Developed-Soybeans,2008-2015,46.768105701653774,Rotation
Rot Developed-Winter Wheat,2008-2015,20.77087372714016,Rotation
Rot Fallow-Grass/Pasture,2008-2015,37.447394446429826,Rotation
Rot Fallow-Other (12),2008-2015,662.0262595803825,Rotation
Rot Fallow-Other (42),2008-2015,5.430058104583487,Rotation
Rot Fallow-Other (44),2008-2015,52.93180667907145,Rotation
Rot Fallow-Other (49),2008-2015,36.66027575568203,Rotation
Rot Fallow-Other (68),2008-2015,148.86741223168644,Rotation
Rot Fallow-Other (69),2008-2015,314.3801328706126,Rotation
Rot Fallow-Other Hay,2008-2015,5872.382831562243,Rotation
Rot Fallow-Soybeans,2008-2015,248.25503525450577,Rotation
Rot Forest-Grass/Pasture,2008-2015,43.02155963079101,Rotation
Rot Forest-Other (190),2008-2015,3.9758225303502437,Rotation
Rot Forest-Other (27),2008-2015,4.212480194307556,Rotation
Rot Forest-Other (28),2008-2015,14.9661076362454,Rotation
Rot Forest-Other (42),2008-2015,17.941264423364288,Rotation
Rot Forest-Other (47),2008-2015,10.604428859211524,Rotation
Rot Forest-Other (49),2008-2015,46.94662774561759,Rotation
Rot Forest-Other (68),2008-2015,455.40385256049694,Rotation
Rot Forest-Other (69),2008-2015,317.98951284771306,Rotation
Rot Forest-Other Hay,2008-2015,6824.985105923461,Rotation
Rot Forest-Soybeans,2008-2015,241.24729040215476,Rotation
Rot Forest-Winter Wheat,2008-2015,20.5215293585667,Rotation
Rot Grass/Pasture-Other (12),2008-2015,12.640195991503004,Rotation
Rot Grass/Pasture-Other (152),2008-2015,37.68551957527194,Rotation
Rot Grass/Pasture-Other (242),2008-2015,34.07243131435029,Rotation
Rot Grass/Pasture-Other (27),2008-2015,20.324958537424983,Rotation
Rot Grass/Pasture-Other (28),2008-2015,22.878319533800216,Rotation
Rot Grass/Pasture-Other (42),2008-2015,11.071525164284246,Rotation
Rot Grass/Pasture-Other (43),2008-2015,108.50150322241838,Rotation
Rot Grass/Pasture-Other (49),2008-2015,44.358661860978614,Rotation
Rot Grass/Pasture-Other (53),2008-2015,3.540053778441309,Rotation
Rot Grass/Pasture-Other (58),2008-2015,18.7996928409896,Rotation
Rot Grass/Pasture-Other (66),2008-2015,3.740648724159442,Rotation
Rot Grass/Pasture-Other (68),2008-2015,12500.848287318042,Rotation
Rot Grass/Pasture-Other (69),2008-2015,3336.14672114567,Rotation
Rot Grass/Pasture-Other Hay,2008-2015,963210.9393748482,Rotation
Rot Grass/Pasture-Soybeans,2008-2015,301.2443307015156,Rotation
Rot Grass/Pasture-Winter Wheat,2008-2015,152.95564323494463,Rotation
Rot Other (111)-Other (12),2008-2015,4.827024297623504,Rotation
Rot Other (111)-Other (131),2008-2015,2.9595205308532524,Rotation
Rot Other (111)-Other (206),2008-2015,8.403906348821799,Rotation
Rot Other (111)-Other (43),2008-2015,19.355031878187937,Rotation
Rot Other (111)-Other (49),2008-2015,329.78430826844834,Rotation
Rot Other (111)-Other (92),2008-2015,11.498650286440455,Rotation
Rot Other (111)-Other Hay,2008-2015,133.62191403362505,Rotation
Rot Other (111)-Soybeans,2008-2015,5.634284860166935,Rotation
Rot Other (111)-Winter Wheat,2008-2015,14.932932708071373,Rotation
Rot Other (12)-Other (122),2008-2015,9.562416714448242,Rotation
Rot Other (12)-Other (123),2008-2015,12.46689335279858,Rotation
Rot Other (12)-Other (131),2008-2015,65.46525973666034,Rotation
Rot Other (12)-Other (206),2008-2015,16.544933008524232,Rotation
Rot Other (12)-Other (222),2008-2015,22.120658769899606,Rotation
Rot Other (12)-Other (243),2008-2015,47.04690072152278,Rotation
Rot Other (12)-Other (28),2008-2015,43.45095571683872,Rotation
Rot Other (12)-Other (42),2008-2015,38.86022197712331,Rotation
Rot Other (12)-Other (43),2008-2015,58.08602475484591,Rotation
Rot Other (12)-Other (49),2008-2015,79.73606945596796,Rotation
Rot Other (12)-Other (53),2008-2015,47.55747903302052,Rotation
Rot Other (12)-Other Hay,2008-2015,51.45347653205405,Rotation
Rot Other (12)-Sod/Grass Seed,2008-2015,3.310462360843073,Rotation
Rot Other (12)-Soybeans,2008-2015,257.7415517694333,Rotation
Rot Other (122)-Other (28),2008-2015,5.6757371843257465,Rotation
Rot Other (122)-Other (42),2008-2015,3.3526235887542444,Rotation
Rot Other (122)-Other (43),2008-2015,34.62363190926538,Rotation
Rot Other (122)-Other (49),2008-2015,3.9301919267291714,Rotation
Rot Other (122)-Other (68),2008-2015,36.484729992122055,Rotation
Rot Other (122)-Other Hay,2008-2015,95.32933332054314,Rotation
Rot Other (122)-Winter Wheat,2008-2015,2.8438838581898045,Rotation
Rot Other (123)-Other (27),2008-2015,3.1522689051778925,Rotation
Rot Other (123)-Other (47),2008-2015,2.5615729520441,Rotation
Rot Other (123)-Other (49),2008-2015,15.500579458907753,Rotation
Rot Other (123)-Other Hay,2008-2015,11.936350993100344,Rotation
Rot Other (123)-Soybeans,2008-2015,3.074691044559779,Rotation
Rot Other (123)-Winter Wheat,2008-2015,2.916792219781272,Rotation
Rot Other (124)-Other (243),2008-2015,3.2043755762846056,Rotation
Rot Other (124)-Other (27),2008-2015,5.601607616405416,Rotation
Rot Other (124)-Other (43),2008-2015,5.34196472517075,Rotation
Rot Other (124)-Other (49),2008-2015,32.244098986043966,Rotation
Rot Other (124)-Other (53),2008-2015,3.4930831380246508,Rotation
Rot Other (124)-Other (6),2008-2015,10.296286996026652,Rotation
Rot Other (124)-Other Hay,2008-2015,26.809620024383268,Rotation
Rot Other (131)-Other (221),2008-2015,6.538682319582933,Rotation
Rot Other (131)-Other (229),2008-2015,3.146140413960416,Rotation
Rot Other (131)-Other (27),2008-2015,22.550633729912512,Rotation
Rot Other (131)-Other (28),2008-2015,6.9188868509462065,Rotation
Rot Other (131)-Other (42),2008-2015,416.4162323564539,Rotation
Rot Other (131)-Other (43),2008-2015,69.41449496769897,Rotation
Rot Other (131)-Other (48),2008-2015,4.20014689615615,Rotation
Rot Other (131)-Other (49),2008-2015,24.88879657342,Rotation
Rot Other (131)-Other (53),2008-2015,6.364668037317456,Rotation
Rot Other (131)-Other Hay,2008-2015,3.4370619160800264,Rotation
Rot Other (131)-Soybeans,2008-2015,27.131022057927105,Rotation
Rot Other (131)-Winter Wheat,2008-2015,4.937562532146835,Rotation
Rot Other (142)-Other (28),2008-2015,234.09563520375522,Rotation
Rot Other (142)-Other (67),2008-2015,2.916174933385442,Rotation
Rot Other (142)-Other Hay,2008-2015,3.0979141312152234,Rotation
Rot Other (142)-Sorghum,2008-2015,30.68472337030807,Rotation
Rot Other (143)-Other (28),2008-2015,5.58694104066574,Rotation
Rot Other (143)-Other (69),2008-2015,12.245876147643159,Rotation
Rot Other (143)-Other Hay,2008-2015,21.52835146055551,Rotation
Rot Other (152)-Other (49),2008-2015,8.551113790947223,Rotation
Rot Other (152)-Other (68),2008-2015,37.16535080325348,Rotation
Rot Other (152)-Other Hay,2008-2015,760.7786522027412,Rotation
Rot Other (190)-Other (28),2008-2015,99.46803531479439,Rotation
Rot Other (190)-Other (43),2008-2015,10.949635192166172,Rotation
Rot Other (190)-Other (49),2008-2015,198.256455877951,Rotation
Rot Other (190)-Other Hay,2008-2015,98.68058802964856,Rotation
Rot Other (190)-Soybeans,2008-2015,13.313799865087379,Rotation
Rot Other (195)-Other (49),2008-2015,165.23727483739,Rotation
Rot Other (195)-Other Hay,2008-2015,71.98542904264164,Rotation
Rot Other (195)-Winter Wheat,2008-2015,18.81135509438023,Rotation
Rot Other (205)-Other Hay,2008-2015,90.4531148954301,Rotation
Rot Other (220)-Other (68),2008-2015,10.176848058516669,Rotation
Rot Other (222)-Other (49),2008-2015,27.816925284402302,Rotation
Rot Other (222)-Other Hay,2008-2015,7.168054652446816,Rotation
Rot Other (222)-Sod/Grass Seed,2008-2015,3.7220898588169162,Rotation
Rot Other (224)-Other Hay,2008-2015,30.732607283318295,Rotation
Rot Other (226)-Other Hay,2008-2015,32.46379989636045,Rotation
Rot Other (227)-Other (49),2008-2015,21.9662628087525,Rotation
Rot Other (229)-Other Hay,2008-2015,9.246205369135236,Rotation
Rot Other (229)-Sod/Grass Seed,2008-2015,2.904097467421483,Rotation
Rot Other (243)-Soybeans,2008-2015,4.30211022367534,Rotation
Rot Other (26)-Other Hay,2008-2015,10.010720609355094,Rotation
Rot Other (27)-Other (43),2008-2015,317.1428381027379,Rotation
Rot Other (27)-Other Hay,2008-2015,267.1948268095911,Rotation
Rot Other (27)-Soybeans,2008-2015,13.403140247259511,Rotation
Rot Other (27)-Winter Wheat,2008-2015,20.48687593071283,Rotation
Rot Other (28)-Other (43),2008-2015,303.25550150702634,Rotation
Rot Other (28)-Other Hay,2008-2015,1908.116905860739,Rotation
Rot Other (28)-Soybeans,2008-2015,100.44167880764923,Rotation
Rot Other (28)-Winter Wheat,2008-2015,25.918384034523502,Rotation
Rot Other (29)-Other Hay,2008-2015,27.55042719802581,Rotation
Rot Other (30)-Other Hay,2008-2015,9.280018003678858,Rotation
Rot Other (42)-Other Hay,2008-2015,156.41835069369762,Rotation
Rot Other (42)-Soybeans,2008-2015,89.87880643024356,Rotation
Rot Other (43)-Other (49),2008-2015,535.2057623444853,Rotation
Rot Other (43)-Other (69),2008-2015,3.940744523925153,Rotation
Rot Other (43)-Other Hay,2008-2015,43.52585327487173,Rotation
Rot Other (43)-Soybeans,2008-2015,60.133468367940495,Rotation
