Year,Crop_Code,CSBACRES,Crop_Name
2008,1,1352131.9918899552,Corn
2008,4,1376.577116320924,Sorghum
2008,5,249276.59409272342,Soybeans
2008,6,715.7984830028092,Other (6)
2008,12,26451.436072737128,Other (12)
2008,21,2911.451232211228,Barley
2008,23,341.2360718264713,Spring Wheat
2008,24,140172.4952696273,Winter Wheat
2008,25,188.93947244935816,Other (25)
2008,27,3265.5366236275017,Other (27)
2008,28,35107.48634265761,Other (28)
2008,29,32.63015205483067,Other (29)
2008,30,1164.4237188589166,Other (30)
2008,31,23.259500719553714,Other (31)
2008,36,546001.6024285386,Alfalfa
2008,37,1203978.2640055234,Other Hay
2008,39,202.79350852897343,Other (39)
2008,41,932.7405640763282,Other (41)
2008,42,40996.630464690345,Other (42)
2008,43,12251.6203458147,Other (43)
2008,44,1093.7805981106312,Other (44)
2008,47,2164.864380966807,Other (47)
2008,49,9306.138244030024,Other (49)
2008,50,1082.7986761779623,Other (50)
2008,53,16361.635938973921,Other (53)
2008,54,136.7017159326126,Other (54)
2008,58,2406.239084590249,Other (58)
2008,59,7805.321066274479,Sod/Grass Seed
2008,61,35496.342162266235,Fallow
2008,66,442.46200837766617,Other (66)
2008,67,42.49088973006673,Other (67)
2008,68,27679.688364741767,Other (68)
2008,69,27008.514018758702,Other (69)
2008,70,205.44142386411366,Other (70)
2008,71,33.26692529005214,Other (71)
2008,77,39.98177465698515,Other (77)
2008,92,34.91938678514422,Other (92)
2008,111,2936.3474214052308,Other (111)
2008,121,8177.611417580119,Developed
2008,122,1236.6242376103853,Other (122)
2008,123,408.28074125966225,Other (123)
2008,124,251.24764411891258,Other (124)
2008,131,2040.5484925091048,Other (131)
2008,141,23381.94100650493,Forest
2008,142,955.9648500617965,Other (142)
2008,143,72.87136044690473,Other (143)
2008,152,2805.0082636661054,Other (152)
2008,176,1079770.324178074,Grass/Pasture
2008,190,2018.0731380674458,Other (190)
2008,195,3200.049501968164,Other (195)
2008,205,645.6596718029729,Other (205)
2008,206,591.525692158597,Other (206)
2008,216,6.8456711607259475,Other (216)
2008,218,3.7819178803358966,Other (218)
2008,221,39.9372104130756,Other (221)
2008,222,1183.4153698899363,Other (222)
2008,225,161.81830227658264,Other (225)
2008,229,723.3333452992895,Other (229)
2008,242,66.75292488260925,Other (242)
2008,243,9289.349251641072,Other (243)
2008,246,7.93287189670491,Other (246)
2009,1,1373533.4130214609,Corn
2009,4,469.7722009934809,Sorghum
2009,5,289296.57721460995,Soybeans
2009,6,780.213438448499,Other (6)
2009,12,23468.933162415993,Other (12)
2009,21,2152.8329034021035,Barley
2009,23,248.7450127615413,Spring Wheat
2009,24,104542.04754316965,Winter Wheat
2009,27,4602.41106105292,Other (27)
2009,28,49478.73590151196,Other (28)
2009,29,19.97939474697459,Other (29)
2009,30,659.2164066680949,Other (30)
2009,36,525215.7824514564,Alfalfa
2009,37,1067733.7978591474,Other Hay
2009,39,195.29924118811738,Other (39)
2009,41,2035.9800682394925,Other (41)
2009,42,41775.62476273199,Other (42)
2009,43,15464.98492765673,Other (43)
2009,44,598.6590983689495,Other (44)
2009,47,182.72198409278428,Other (47)
2009,49,11533.17204462654,Other (49)
2009,50,963.325312355888,Other (50)
2009,53,13939.686870371817,Other (53)
2009,54,80.77048941269513,Other (54)
2009,55,41.93369257132895,Other (55)
2009,57,13.704235511309063,Other (57)
2009,58,3421.492669450022,Other (58)
2009,59,5070.340643075204,Sod/Grass Seed
2009,61,46364.939690155166,Fallow
2009,66,122.7788012786062,Other (66)
2009,67,24.427159071250863,Other (67)
2009,68,30280.554163111967,Other (68)
2009,69,24006.36321949743,Other (69)
2009,70,183.77694131728109,Other (70)
2009,71,35.07358909752682,Other (71)
2009,77,12.871224312623749,Other (77)
2009,92,11.536415364730145,Other (92)
2009,111,3821.692417620567,Other (111)
2009,121,8489.118964218655,Developed
2009,122,795.8950183654412,Other (122)
2009,123,457.5389982352474,Other (123)
2009,124,324.11114390138056,Other (124)
2009,131,2515.4510225892973,Other (131)
2009,141,17594.319325075227,Forest
2009,142,1002.6970768309801,Other (142)
2009,143,101.25817011244014,Other (143)
2009,152,3384.817031192103,Other (152)
2009,176,1191528.2347196317,Grass/Pasture
2009,190,1943.3839796841535,Other (190)
2009,195,3615.016553679903,Other (195)
2009,205,912.8700807145527,Other (205)
2009,206,1014.7701042063392,Other (206)
2009,216,44.12939755658857,Other (216)
2009,219,79.97314259756453,Other (219)
2009,220,10.306764636492954,Other (220)
2009,221,185.73503844485487,Other (221)
2009,222,2185.649235727546,Other (222)
